mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv
gdb_74070,NC1=CC(=O)N(C1)C=N,3.55521,1.20655,0.90642,7.792,78.26,-0.2257,-0.0153,0.2104,1223.9232,0.125521,-434.113015,-434.104557,-434.103612,-434.14626,31.156
gdb_50556,O=CC1CCC2(CC2)O1,3.00359,1.31623,1.14224,3.0819,76.04,-0.2285,-0.023,0.2055,1140.1568,0.158446,-423.024549,-423.016152,-423.015207,-423.058549,31.597
gdb_130441,[NH3+]CC1=N[N-]N=NC1=O,2.71736,1.55253,0.99956,8.4708,68.95,-0.2296,-0.0885,0.1412,1098.6649,0.101678,-466.12678,-466.11888,-466.117935,-466.160152,28.086
gdb_7677,CC1(C)C2CC(=O)C12,3.87925,1.54967,1.51224,3.3785,72.94,-0.2368,-0.0082,0.2286,937.1938,0.152569,-347.803535,-347.795653,-347.794709,-347.835259,30.429
gdb_93561,CC1CCC(=C1)C(C)=O,3.37828,1.00308,0.80849,2.9986,87.58,-0.2379,-0.0442,0.1937,1466.5651,0.181688,-387.137451,-387.127923,-387.126979,-387.172189,35.123
gdb_78055,CC1C2C(C1O)C2(C)O,2.8534,1.15205,1.06675,0.6146,78.78,-0.2372,0.0667,0.3039,1253.2279,0.18032,-424.190687,-424.181101,-424.180157,-424.224202,37.31
gdb_114026,OCC1NC1COC=N,4.0453,0.70184,0.67609,2.1345,74.67,-0.2549,0.0247,0.2796,1682.2503,0.15901,-456.300157,-456.290441,-456.289497,-456.336325,34.124
gdb_46952,O=C1NCC2OC3C2C13,2.94472,1.85689,1.40327,4.0245,67.89,-0.2333,0.0262,0.2594,914.2769,0.127155,-437.882951,-437.876307,-437.875363,-437.914014,26.568
gdb_123230,CCOCCCOC=O,7.28289,0.42258,0.41141,4.8052,79.0,-0.2632,0.0081,0.2713,2602.2123,0.179454,-461.378595,-461.367568,-461.366624,-461.417241,36.558
gdb_35437,C#CC12CC1CC2C#N,2.43675,1.42269,1.10232,4.1,81.03,-0.2519,0.0121,0.2641,1123.3083,0.123894,-363.567185,-363.559056,-363.558112,-363.599947,30.939
gdb_83781,OC1C2COC3CC2C13,2.77041,1.89237,1.6979,2.1138,72.8,-0.2435,0.073,0.3165,894.5033,0.162873,-422.994417,-422.987897,-422.986953,-423.024846,28.17
gdb_18381,C1C2CC=CCOC12,3.32973,2.2601,1.50912,1.0668,72.67,-0.2354,0.0219,0.2573,860.2135,0.155868,-347.78663,-347.779862,-347.778918,-347.817248,27.221
gdb_129979,C(C=O)c1nc(on1)N,4.75916,0.88182,0.78957,5.1521,65.08,-0.2469,-0.0291,0.2178,1369.5215,0.100396,-470.023333,-470.015045,-470.014101,-470.057426,29.191
gdb_126303,CCc1cc(no1)CO,4.19406,0.87481,0.78485,2.4725,75.98,-0.2471,-0.0034,0.2437,1492.2349,0.14698,-439.08488,-439.075648,-439.074703,-439.120027,32.659
gdb_131977,c1(c(onn1)N(=O)=O)N,2.93653,1.68306,1.07018,3.9749,61.39,-0.263,-0.1119,0.1511,983.2948,0.065,-521.884172,-521.876899,-521.875955,-521.916199,26.116
gdb_45089,O=C1CC2CN2C2CC12,2.80148,1.71867,1.25959,2.9701,75.39,-0.2352,-0.0149,0.2204,1006.0196,0.149683,-401.929323,-401.922204,-401.921259,-401.960723,28.963
gdb_17562,OC12CC1CC21CC1,3.19714,2.09396,1.64257,1.3634,72.04,-0.2278,0.0758,0.3035,855.2871,0.153832,-347.755738,-347.748467,-347.747523,-347.786701,29.351
gdb_68716,CC12CC1(C#N)C1OC21,2.44127,1.65404,1.35441,4.9425,73.51,-0.2753,0.0119,0.2872,997.1355,0.123816,-400.709607,-400.701813,-400.700869,-400.741807,29.706
gdb_98332,CNC(=O)C(O)CC#C,1.84575,1.45653,0.85675,3.7426,74.8,-0.2567,0.0166,0.2733,1329.4315,0.145288,-439.086719,-439.076511,-439.075567,-439.122793,36.105
gdb_95792,OC1CCCC(O)C1=O,2.19623,1.6414,1.00969,1.9842,71.35,-0.2707,-0.0377,0.233,1165.5113,0.159791,-460.201322,-460.192826,-460.191882,-460.234176,33.028
gdb_87134,CC1(CO1)C1(O)CC1O,2.10486,1.58353,1.35535,1.8826,70.51,-0.2285,0.0659,0.2945,1069.5307,0.156154,-460.118028,-460.108601,-460.107657,-460.151735,36.105
gdb_131877,C(COc1n[nH]nn1)O,5.75766,0.82235,0.75303,1.7637,63.47,-0.2641,-0.0317,0.2323,1437.3129,0.113871,-487.230819,-487.222701,-487.221757,-487.264922,28.41
gdb_39858,C1NC11C2NC3C2NC13,3.12601,1.8786,1.52614,2.1205,74.6,-0.2163,0.0611,0.2774,902.6829,0.152009,-398.025057,-398.01874,-398.017796,-398.055467,26.941
gdb_61757,OC(CC=O)C(=O)C=O,2.4058,1.06535,0.78933,2.8907,65.3,-0.2548,-0.1208,0.134,1363.4006,0.107861,-494.915348,-494.905623,-494.904678,-494.951552,32.509
gdb_48449,N=C1OCC1(C=O)C#C,1.88862,1.69793,1.27909,2.0618,70.02,-0.2658,-0.0498,0.216,1040.8628,0.098396,-436.64619,-436.637646,-436.636701,-436.679865,30.458
gdb_22936,ON=C1C=CC2CC12O,2.77767,1.52298,1.11261,1.0173,76.26,-0.2272,-0.0409,0.1863,1072.8374,0.123755,-437.836311,-437.828257,-437.827313,-437.868645,31.164
gdb_66943,CC12C3CC(N13)C21CO1,2.58647,1.94404,1.3921,2.8781,75.25,-0.2406,0.0795,0.3201,969.495,0.147634,-401.867938,-401.86041,-401.859466,-401.899571,29.779
gdb_34712,N#CC1C2C3C=CC1C23,3.13148,1.6607,1.47348,4.2405,75.77,-0.2401,-0.0034,0.2367,921.0933,0.126812,-363.596445,-363.589872,-363.588928,-363.627364,26.668
gdb_33116,[NH3+]CCC1=COC([O-])=N1,3.29282,1.09888,0.85677,6.9972,71.18,-0.2019,0.0319,0.2338,1311.2369,0.137948,-455.197332,-455.189048,-455.188104,-455.230587,31.009
gdb_29506,Cc1c[nH]c2c1CCN2,3.04072,1.51316,1.03667,1.3966,83.23,-0.1676,0.0587,0.2264,1158.0693,0.162452,-382.102538,-382.09436,-382.093415,-382.135082,31.5
gdb_24327,c1cncc2c1coc2,4.10134,1.61374,1.15808,1.974,77.76,-0.21,-0.0563,0.1537,965.3475,0.105072,-399.606524,-399.600587,-399.599643,-399.636706,24.111
gdb_109957,OCC1C(O)CC11CC1,2.60614,1.27409,0.9742,3.1739,78.7,-0.244,0.0585,0.3025,1263.0652,0.182117,-424.192794,-424.183543,-424.182598,-424.226698,35.551
gdb_133778,CCC1OC1C(F)(F)F,3.15831,1.01257,0.94133,2.2599,58.32,-0.2867,0.0694,0.3561,1271.7629,0.119161,-569.376563,-569.367581,-569.366637,-569.411703,31.741
gdb_10318,CCN(C=N)C(=O)C,2.64432,1.7987,1.16868,2.0807,71.75,-0.2475,-0.013,0.2344,1048.5517,0.153323,-381.164398,-381.155426,-381.154482,-381.197962,32.14
gdb_126137,CCC(=O)n1ncnn1,4.6002,1.08996,0.89075,1.3183,68.76,-0.2924,-0.0793,0.2131,1251.1376,0.112508,-450.134133,-450.125961,-450.125016,-450.16801,28.267
gdb_104225,OCC1(O)CCC11CC1,2.6031,1.29149,1.18188,2.2254,78.75,-0.2449,0.0617,0.3066,1175.5021,0.181502,-424.197177,-424.187908,-424.186964,-424.230781,36.051
gdb_107593,COC12CC1CCC2=O,2.62461,1.60494,1.15346,2.7507,75.74,-0.2282,-0.014,0.2142,1103.7154,0.15912,-423.035588,-423.027107,-423.026163,-423.068559,32.216
gdb_132969,CN1C=CC(=N)C(F)=C1,3.05622,1.36703,0.95074,6.0683,80.44,-0.1916,-0.0089,0.1827,1174.5209,0.12539,-442.061135,-442.053137,-442.052193,-442.093979,29.835
gdb_64170,CC1(C)OCC1(N)C#N,2.23553,1.48745,1.34682,3.645,75.38,-0.2619,0.0171,0.2791,1084.7733,0.157321,-419.201265,-419.191522,-419.190578,-419.235407,36.239
gdb_34469,N#CC12OCC3CC1C23,3.63265,1.52213,1.2815,5.2432,73.0,-0.252,0.0135,0.2654,977.3001,0.126359,-400.72769,-400.720955,-400.720011,-400.758732,26.904
gdb_95743,OC1CCCC(=C1)C#C,2.80795,1.15394,0.85794,1.5081,87.58,-0.2308,-0.0228,0.208,1337.6791,0.159399,-385.879201,-385.870448,-385.869504,-385.912423,33.981
gdb_82121,CN1C2CC2C1CC#N,3.34099,1.18073,1.00172,4.3236,79.49,-0.217,0.0335,0.2506,1209.0514,0.159369,-382.033745,-382.025122,-382.024178,-382.067117,32.456
gdb_51780,O=CNC1CNC1C=O,2.68215,1.17908,0.91197,2.8809,70.77,-0.2447,-0.0418,0.2029,1259.5762,0.135929,-455.145761,-455.136943,-455.135999,-455.180585,31.021
gdb_44049,O=C1CC23CCC12CC3,2.48646,1.68804,1.54543,2.8597,78.42,-0.2364,-0.0233,0.213,982.9053,0.159148,-385.845807,-385.838074,-385.83713,-385.878183,30.661
gdb_91154,CC1C=CC2CC(O)C12,2.35827,1.76503,1.35125,1.5886,83.09,-0.2367,0.0132,0.2499,1052.5053,0.184133,-387.088988,-387.080899,-387.079955,-387.121061,32.869
gdb_58187,CC(O)C(C)C(C)(C)C,2.14543,1.21436,0.96862,1.3514,91.7,-0.2558,0.0704,0.3262,1424.0912,0.24896,-390.699996,-390.688203,-390.687259,-390.73607,45.356
gdb_25247,N=C1OCC2=C1OC=C2,3.36141,1.68959,1.13243,3.9909,72.24,-0.2329,-0.0295,0.2034,990.8941,0.103988,-436.717664,-436.711221,-436.710277,-436.748567,25.085
gdb_57911,CC(C)C(=O)N1CCC1,3.06037,1.00261,0.91662,3.7504,84.7,-0.2324,0.0313,0.2638,1425.1698,0.193382,-404.374784,-404.364408,-404.363464,-404.412625,36.267
gdb_59085,CC(C)C1C(O)C1C=O,2.12864,1.22756,0.90867,2.8145,80.69,-0.2408,-0.019,0.2218,1359.3933,0.179779,-424.224026,-424.213734,-424.21279,-424.259502,37.536
gdb_20930,CCN=c1onno1,6.92653,1.19914,1.08022,1.6473,58.82,-0.2737,-0.0683,0.2054,1057.6802,0.09368,-431.843371,-431.835982,-431.835038,-431.876416,25.326
gdb_27510,NC1=NC(=O)NC(=N)O1,2.09824,2.0063,1.02568,5.6494,64.63,-0.2608,-0.0187,0.2421,1054.851,0.090966,-486.148127,-486.140291,-486.139347,-486.180945,28.462
gdb_71694,CC12C3CC4(O)C(C13)C24,3.46144,1.4915,1.38591,1.2683,77.88,-0.2118,0.0736,0.2855,1010.3777,0.159649,-385.846364,-385.838864,-385.83792,-385.877619,31.197
gdb_110706,COC1C2C=CC1C2=O,3.32793,1.30918,1.19728,2.4096,73.76,-0.2446,-0.004,0.2406,1083.9082,0.13539,-421.795743,-421.787833,-421.786889,-421.828418,29.859
gdb_87981,CC1(C)CCC11CC1O,2.16365,1.50409,1.2783,1.2944,85.7,-0.2475,0.0752,0.3228,1162.4909,0.203881,-388.268237,-388.258449,-388.257505,-388.302044,38.342
gdb_73502,OC12CCC3CCC1C23,2.69648,1.73837,1.39051,1.2296,80.08,-0.2432,0.0786,0.3218,1014.7861,0.18592,-387.102024,-387.09463,-387.093686,-387.133401,31.082
gdb_43291,O=C1C=CC2C(C#C)N12,2.41597,1.78009,1.48672,4.209,73.42,-0.2514,-0.0615,0.19,926.0642,0.100639,-399.515662,-399.508377,-399.507433,-399.547469,27.911
gdb_3716,CCc1c[nH]nc1,6.85545,1.81699,1.59359,2.2314,62.33,-0.2324,0.0266,0.259,794.2946,0.127511,-304.725676,-304.719005,-304.718061,-304.756886,24.109
gdb_20268,C1C2C3CC4C2C1C34,4.32314,2.55966,2.31787,0.0542,73.83,-0.2582,0.0978,0.3561,690.7471,0.158111,-310.622578,-310.617472,-310.616528,-310.65131,23.046
gdb_125034,Cc1c(cnnc1N)O,2.33964,1.84655,1.04033,5.4832,75.46,-0.2205,-0.0252,0.1953,1088.6456,0.125332,-434.099298,-434.091101,-434.090157,-434.131747,31.383
gdb_105253,CCC1(CC1O)C1CN1,2.24124,1.32764,1.00028,2.1129,81.92,-0.2374,0.074,0.3114,1284.9451,0.193393,-404.300797,-404.290948,-404.290004,-404.335678,37.085
gdb_88998,CC1CN1CC1COC1,4.03961,0.80967,0.75202,2.1085,82.74,-0.2282,0.0829,0.3112,1587.3463,0.193748,-404.29086,-404.28133,-404.280385,-404.326625,34.428
gdb_82357,OC1C2OC2CC1C#C,2.34336,1.72243,1.372,2.1176,72.43,-0.2454,0.0447,0.2901,995.8714,0.135511,-421.779096,-421.771037,-421.770093,-421.811515,31.33
gdb_58878,CC(O)C12OC1CC2O,2.6288,1.43429,1.09609,1.0929,70.75,-0.2547,0.0683,0.3229,1144.0289,0.157639,-460.124544,-460.115537,-460.114593,-460.158122,34.338
gdb_21517,C#Cc1cnoc1N,3.79983,1.90141,1.2683,3.3907,66.09,-0.2135,0.0003,0.2138,872.6626,0.083714,-377.489699,-377.48263,-377.481686,-377.520749,26.581
gdb_106174,CNC12C3OC1COC23,3.04306,1.4581,1.33948,2.6558,70.96,-0.2049,0.0716,0.2765,1034.9034,0.148413,-439.013513,-439.005829,-439.004885,-439.045968,29.64
gdb_65519,OC1(CC2CC12)C1CN1,3.66636,1.1797,1.15433,2.9768,78.42,-0.2341,0.0637,0.2977,1159.4965,0.17156,-403.087381,-403.079024,-403.07808,-403.120186,32.877
gdb_27280,Cc1ccn2c1NCC2,3.01617,1.59908,1.07483,2.6049,83.77,-0.1743,0.0557,0.23,1128.85,0.162532,-382.106216,-382.098196,-382.097252,-382.13882,30.662
gdb_59365,CC(C)C1CC(C)C=C1,3.19553,0.96589,0.7992,0.1341,95.31,-0.2339,0.0272,0.2611,1562.3929,0.228664,-352.383226,-352.373126,-352.372182,-352.418152,38.734
gdb_90502,CC1CN2C(C=O)C12C,2.15704,1.59489,1.30718,2.5229,80.82,-0.2384,-0.0362,0.2022,1103.4283,0.169306,-403.116086,-403.106763,-403.105819,-403.150027,34.425
gdb_115319,COC1CCC(O)C1=O,2.56226,1.37734,1.02493,2.2953,72.23,-0.2364,-0.0385,0.1979,1199.8259,0.158342,-460.176298,-460.167214,-460.166269,-460.21054,33.469
gdb_90440,CC1OC2C(O)C(O)C12,2.49499,1.58362,1.34722,2.3799,71.0,-0.2361,0.0444,0.2805,1041.513,0.158772,-460.116831,-460.108254,-460.10731,-460.149977,32.957
gdb_103024,CCC1(C#N)C2CN1C2,2.28009,1.75435,1.19703,4.1324,80.14,-0.2499,0.0094,0.2592,1087.5397,0.159998,-382.001278,-381.992951,-381.992007,-382.034288,31.876
gdb_18981,C1CC2C3OC2C3C1,4.09713,2.1377,1.73393,2.2176,70.27,-0.2286,0.0721,0.3007,798.3166,0.156909,-347.752117,-347.746121,-347.745177,-347.7819,25.098
gdb_35765,N#CC1NCC2CC1N2,3.06832,1.46822,1.30557,6.1424,74.74,-0.2293,0.0277,0.2569,1021.5774,0.151858,-398.104114,-398.0968,-398.095856,-398.135876,29.063
gdb_5755,C1C2C1C1=NC=CN21,5.3723,2.18284,1.82438,3.4814,66.34,-0.2185,0.006,0.2246,717.1098,0.110351,-341.549408,-341.543922,-341.542978,-341.578812,22.055
gdb_94871,CC1CCC23CC12CC3,2.61348,1.61849,1.28786,0.4283,88.42,-0.22,0.0811,0.3011,1112.6586,0.208073,-351.138826,-351.130746,-351.129802,-351.170774,33.526
gdb_77070,CC1(C)OC(C#C)C1O,2.70601,1.28965,1.18557,0.5607,77.25,-0.2564,0.0159,0.2722,1151.9049,0.155541,-422.980905,-422.971097,-422.970153,-423.015122,36.793
gdb_101335,CCC(O)C1OC1CO,3.15196,0.77327,0.7454,2.2339,75.51,-0.2619,0.0608,0.3227,1644.028,0.179796,-461.33343,-461.322761,-461.321817,-461.370243,37.896
gdb_18059,C#CCC1C2CCC12,4.83127,1.26451,1.22104,0.931,76.9,-0.2472,0.0611,0.3083,1054.1409,0.153666,-310.602386,-310.594674,-310.59373,-310.634812,29.612
gdb_113496,CCC1CC11CNC1=O,3.3948,0.97533,0.87573,3.6504,81.49,-0.244,0.0357,0.2797,1404.9062,0.170435,-403.163338,-403.153875,-403.152931,-403.198303,34.262
gdb_42369,C#CCC(=O)NC1CC1,2.77316,1.02789,0.78764,3.0714,78.93,-0.2416,0.0282,0.2698,1439.6123,0.145726,-401.93185,-401.922243,-401.921299,-401.968102,34.513
gdb_62726,CC1(O)C2C=CCC12C,2.32733,1.67769,1.32387,1.1534,83.72,-0.2139,0.0213,0.2352,1079.0104,0.181407,-387.092991,-387.083966,-387.083021,-387.125657,35.886
gdb_29888,CN1C=CC(=N)NC1=O,3.24494,1.42888,0.99832,2.6236,77.49,-0.223,-0.0265,0.1965,1134.0676,0.12688,-434.142766,-434.134714,-434.13377,-434.175867,29.737
gdb_25201,N=C1NC=NC=NC1=O,2.67503,1.84068,1.18525,3.9465,69.95,-0.2616,-0.0823,0.1793,965.1796,0.092067,-448.961913,-448.954787,-448.953843,-448.994039,25.992
gdb_63565,CC1(C)OC11CNC1=O,2.66704,1.45476,1.1071,4.0001,73.67,-0.2464,0.0128,0.2592,1134.0609,0.145375,-439.095279,-439.086036,-439.085091,-439.129019,33.898
gdb_40297,C1OC11CCCOCC1,2.87858,1.3937,1.09904,0.9277,78.15,-0.2473,0.0805,0.3278,1160.1408,0.184246,-424.212077,-424.203885,-424.202941,-424.24472,32.237
gdb_77093,CC1C(CC11CC1)C#N,3.13076,1.10627,0.92099,4.2545,84.62,-0.2822,0.0308,0.313,1310.2931,0.170878,-366.011769,-366.002855,-366.001911,-366.045466,33.863
gdb_90259,CC1OC23CCC2CC13,3.37559,1.45987,1.21654,1.4359,82.02,-0.2246,0.0785,0.3032,1101.994,0.183295,-387.049041,-387.041122,-387.040177,-387.081314,31.88
gdb_35970,N#CC1CCCCCO1,2.96474,1.18462,0.91139,5.0619,79.59,-0.2714,0.0219,0.2933,1290.8584,0.172823,-403.165415,-403.156807,-403.155863,-403.199064,32.349
gdb_130326,NC1=NON=C1C1CO1,3.26437,1.4271,1.06044,4.1506,63.93,-0.2386,-0.035,0.2036,1060.5762,0.101171,-469.937226,-469.929633,-469.928689,-469.969832,28.139
gdb_126163,CCC(C)N1N=CN=N1,3.75625,1.01257,0.94295,3.0845,77.03,-0.2834,-0.0183,0.265,1326.3535,0.160166,-415.387026,-415.378063,-415.377119,-415.422292,31.861
gdb_61412,CC(CC(C)=O)C(N)=O,3.14111,0.86157,0.77375,1.1528,75.71,-0.2433,-0.0113,0.232,1535.3458,0.167143,-440.351406,-440.340087,-440.339143,-440.390158,38.561
gdb_96389,CC1CCCOC1C#C,1.97655,1.67654,1.19233,1.3382,83.35,-0.2512,0.0382,0.2894,1155.6247,0.182859,-387.070556,-387.061635,-387.060691,-387.103638,34.904
gdb_65840,CC1(COC(=N)O1)C#N,2.73491,1.34827,1.24164,4.8772,67.17,-0.275,-0.0039,0.2712,1063.7005,0.112355,-453.97546,-453.967281,-453.966337,-454.008506,29.792
gdb_2026,CC1CC2(C1)CC2,6.69181,1.65791,1.57716,0.2114,72.09,-0.2599,0.0919,0.3518,873.4104,0.171912,-273.764673,-273.757455,-273.756511,-273.795635,28.048
gdb_27747,c1c(c(oc1N)C=O)N,2.32139,1.49035,0.90894,6.3231,78.18,-0.1942,-0.0218,0.1725,1203.8735,0.113047,-453.988313,-453.979898,-453.978954,-454.02105,31.786
gdb_68757,CC12CC1(O)C(=O)NC2,2.51659,1.71296,1.24293,3.4655,72.4,-0.2419,0.0211,0.2631,1038.7941,0.147788,-439.121895,-439.113341,-439.112397,-439.154572,32.863
gdb_120322,CCCN1C2COCC12,3.1579,1.00942,0.9676,0.6755,82.53,-0.2204,0.0843,0.3047,1378.4444,0.195065,-404.323252,-404.314266,-404.313322,-404.357535,33.607
gdb_10774,CC1C(O)C(=O)N1C,2.53698,2.20066,1.32089,2.7848,66.15,-0.2451,0.0243,0.2694,944.7902,0.140712,-401.020452,-401.011437,-401.010493,-401.054121,31.252
gdb_23670,c1cnc(cc1O)F,3.98638,1.82482,1.25179,3.0751,58.8,-0.2572,-0.0187,0.2385,857.2273,0.085298,-422.692506,-422.686495,-422.685551,-422.722632,23.274
gdb_118145,CCCC(C)C1CCC1,3.11897,0.76003,0.64468,0.0252,96.88,-0.2789,0.0867,0.3656,1878.7766,0.251713,-353.561257,-353.550391,-353.549447,-353.597643,40.449
gdb_3690,Cc1ncnnn1,6.30421,2.81737,1.97085,3.0693,53.18,-0.2533,-0.092,0.1613,607.568,0.078692,-335.598739,-335.592751,-335.591807,-335.629295,20.236
gdb_128819,Cc1c(n[nH]n1)COC,3.23626,1.10032,0.8628,1.2221,74.9,-0.2501,0.0027,0.2529,1342.2243,0.148048,-435.266782,-435.25754,-435.256595,-435.301737,32.091
gdb_42201,O=C(C#N)C12CCC1N2,3.24267,1.32513,1.03812,5.3895,72.49,-0.2822,-0.0834,0.1987,1114.7429,0.112653,-416.78502,-416.777057,-416.776113,-416.818155,28.918
gdb_21876,c1(=O)[nH]nnc(n1)O,4.23264,2.07251,1.39127,3.4265,51.74,-0.2711,-0.0997,0.1714,773.4256,0.062395,-446.789041,-446.783153,-446.782209,-446.819332,21.482
gdb_97439,CN=COCC(O)C#N,2.65189,0.90219,0.8318,3.2526,72.12,-0.2688,0.006,0.2748,1462.9984,0.134027,-455.143139,-455.133205,-455.13226,-455.178964,34.218
gdb_49962,O=CC1NC1(C=O)C#N,2.43595,1.18723,0.98042,3.7341,66.52,-0.2857,-0.0774,0.2083,1186.0197,0.086508,-452.731929,-452.723281,-452.722337,-452.766054,29.578
gdb_108748,OCC1=CC(=N)OC1=O,2.64502,1.3514,0.8994,2.9133,69.54,-0.2802,-0.0853,0.1949,1198.5404,0.100791,-473.874865,-473.866815,-473.865871,-473.908009,28.859
gdb_85501,CC1CC(=O)OC1C=O,2.29634,1.56698,1.15654,5.6147,68.33,-0.2672,-0.0469,0.2203,1093.5368,0.135004,-459.018509,-459.010048,-459.009104,-459.052034,30.793
gdb_59855,CC(C)OC(=O)C(=O)N,3.24808,0.9514,0.82182,1.9258,70.2,-0.2471,-0.0411,0.2059,1441.7609,0.145114,-476.297093,-476.286881,-476.285937,-476.333019,36.06
gdb_21556,NC1=CC(=N)NN=C1,3.93272,1.89662,1.28077,3.4017,70.84,-0.1965,-0.0372,0.1593,890.1869,0.110247,-374.915812,-374.909,-374.908056,-374.946484,26.691
gdb_91143,CC1CC2C=C(C)CC12,2.70636,1.33449,1.15971,0.2648,91.1,-0.2223,0.033,0.2554,1217.6545,0.206962,-351.171624,-351.162877,-351.161933,-351.20484,34.633
gdb_29804,Cn1cc(cc1C#N)N,3.22678,1.2277,0.89539,5.0776,83.09,-0.1988,-0.0176,0.1812,1240.5785,0.125674,-396.97853,-396.969648,-396.968704,-397.012595,31.91
gdb_3980,CC(=NO)C#CC#N,7.88278,0.79688,0.72697,5.2265,78.7,-0.262,-0.081,0.181,1416.177,0.081977,-377.470281,-377.461923,-377.460979,-377.503856,28.312
gdb_8931,OCC(O)C(O)C#N,3.82733,1.26924,1.0048,5.2351,57.96,-0.2836,0.0072,0.2908,1098.9152,0.116716,-436.927471,-436.918366,-436.917422,-436.961373,31.771
gdb_21170,CNc1c([nH]nn1)O,3.33971,1.92191,1.30253,3.2354,59.77,-0.2278,0.0108,0.2386,902.5879,0.108834,-412.021852,-412.014431,-412.013487,-412.053912,26.775
gdb_131802,c1c(onn1)CCCO,6.34825,0.65384,0.59938,4.9064,70.95,-0.2684,-0.0338,0.2346,1749.4924,0.134934,-455.120156,-455.111171,-455.110227,-455.155557,31.144
gdb_70905,CC12CC3(C)OCC1C23,2.75351,1.65642,1.28849,1.5909,82.01,-0.2329,0.0929,0.3258,1075.3072,0.182845,-387.079397,-387.071247,-387.070303,-387.111327,33.071
gdb_30095,CC1CC1C1=NC=CN1,3.53827,1.16733,1.05648,3.2689,81.56,-0.2121,0.0343,0.2463,1208.6061,0.161402,-382.10251,-382.094227,-382.093283,-382.136464,31.34
gdb_112013,COC1C=CC2CC12C,2.48438,1.48703,1.13795,0.8566,84.31,-0.228,0.0119,0.2399,1177.7124,0.182012,-387.077731,-387.068755,-387.067811,-387.111236,34.299
gdb_56655,CC1OC1(C)C(O)C#C,3.07859,1.15027,0.95231,1.9272,77.5,-0.263,0.0345,0.2974,1281.5135,0.155183,-422.975927,-422.965796,-422.964852,-423.010683,37.472
gdb_5920,CC(C)(C#C)NC=O,3.78305,1.3778,1.2933,3.1628,71.02,-0.2527,0.0221,0.2748,1007.9554,0.139255,-363.858059,-363.848843,-363.847899,-363.89126,33.75
gdb_113152,COC1CC1(O)C#CC,3.12843,0.82473,0.79531,1.9707,83.3,-0.2194,0.0366,0.2559,1572.8246,0.15514,-422.967507,-422.956757,-422.955813,-423.004987,37.297
gdb_113923,CC(O)CC1CC1CO,3.56592,0.69744,0.6423,2.5209,82.94,-0.2529,0.0706,0.3235,1816.5147,0.203391,-425.405075,-425.394093,-425.393149,-425.442126,39.675
gdb_47403,C1CC2(C1)C(=O)CCO2,2.71713,1.59894,1.22966,1.7003,75.4,-0.2371,-0.0239,0.2132,1068.2533,0.159811,-423.044211,-423.036178,-423.035233,-423.077105,30.8
gdb_77638,NC12CCC1(C#N)C2O,2.08103,1.67224,1.29921,5.9336,74.61,-0.2457,0.0181,0.2638,1050.2932,0.136563,-417.986169,-417.977706,-417.976762,-418.018913,32.384
gdb_6779,C[NH2+]CCCC([O-])=O,3.58374,1.19191,0.9499,6.555,69.01,-0.2368,0.0358,0.2726,1232.8148,0.165914,-402.234433,-402.225574,-402.22463,-402.268552,31.512
gdb_40457,C1CC1C12CC3C1N3C2,3.94219,1.27501,1.19387,1.9731,81.63,-0.2311,0.0801,0.3111,1111.7783,0.172699,-365.928607,-365.92125,-365.920306,-365.960558,29.985
gdb_98601,CCC(=O)C1C2CC1C2,4.10763,0.98367,0.91039,2.4208,83.66,-0.2363,-0.0121,0.2241,1384.387,0.182338,-387.060671,-387.051828,-387.050884,-387.095252,33.05
gdb_105666,CC1CCC1(CO)C=O,1.76199,1.45746,1.1949,2.9218,78.53,-0.2407,-0.0228,0.2178,1213.0701,0.18052,-424.222354,-424.212323,-424.211379,-424.257469,36.547
gdb_55387,NC1=[NH+]CCC1C([O-])=O,2.65411,1.50508,1.00178,6.8333,69.96,-0.2509,0.013,0.2639,1136.2513,0.138195,-455.213238,-455.205286,-455.204342,-455.246185,29.912
gdb_4321,c1nc(nc(=O)o1)N,4.17518,2.06519,1.38174,5.1669,55.77,-0.2698,-0.0552,0.2146,795.1626,0.073931,-430.795971,-430.789503,-430.788559,-430.826698,23.541
gdb_17148,C#CC12OC3C1OC23,4.43796,1.99402,1.62081,0.1531,61.25,-0.2526,-0.0027,0.2499,759.7604,0.081388,-381.177085,-381.17094,-381.169996,-381.207252,24.019
gdb_812,CC1OCC1=NO,4.97998,1.98261,1.52483,1.103,57.57,-0.2477,-0.0022,0.2454,788.5191,0.111826,-361.648305,-361.641082,-361.640138,-361.679561,25.694
gdb_109764,CC(O)C1C(CO)N1C,2.4571,1.06706,0.86696,1.2121,78.88,-0.2253,0.0639,0.2892,1419.1038,0.191395,-441.437984,-441.427033,-441.426089,-441.474224,39.487
gdb_113803,CC1CC1C1CC1CO,3.82066,0.78291,0.7009,1.3587,87.57,-0.2441,0.079,0.323,1680.6271,0.204756,-388.256879,-388.246674,-388.24573,-388.292936,37.703
gdb_40183,C1CC11COC2CC2C1,3.27459,1.39974,1.18743,1.2704,81.39,-0.2238,0.0778,0.3017,1117.0229,0.184614,-387.062804,-387.055068,-387.054123,-387.094822,31.683
